0.906764168	0.980499695	0.995124924	1	1	0.695652174	0.905438813	0.980222497	0.999381953	0.130681818	0.418181818	0.941176471
0.993076923	0.995384615	0.98	0.971326165	0.985663082	0.913978495	0.999020568	0.998041136	0.998041136	0.996323529	0.992779783	0.992217899
0.99189919	0.98919892	0.9909991	0.1	0	0	1	0.99818347	1	1	0	0
1	0.999380421	0.993804213	1	1	0.565217391	1	0.999371464	1	1	0.958333333	1
0.978003384	0.954314721	0.958544839	1	0.166666667	0.133333333	0.977430556	0.974826389	0.980034722	0.535714286	0.147058824	0.148148148
0.99209202	0.951833214	0.965492451	0	0	0	0.998552822	0.958031838	0.971780029	0	0	0
0.999217527	1	1	1	1	1	0.998993964	1	1	0.996491228	1	1
0.988676996	0.688319428	0.683551847	0.966371681	0.527433628	0.522123894	1	0.769991015	0.765498652	1	0.537906137	0.53057554
0.95562599	0.984152139	0.984944532	1	0.071428571	0	0.955128205	0.994391026	0.99599359	0.2	0.125	0
0.976178146	0.963749353	0.925945106	0.88	0.893333333	0.85	0.993868792	0.97670141	0.939914163	0.96350365	0.875816993	0.722379603
0.992961877	0.980645161	0.981231672	1	0.533333333	0.1	0.992835821	0.988656716	0.997014925	0.714285714	0.457142857	0.375
0.990147783	0.570812808	0.570812808	0.996835443	0.485759494	0.466772152	0.985887097	0.625	0.637096774	0.97826087	0.452135493	0.450381679
0.99817296	0.883069428	0.8727162	0	0	0	0.998781231	0.883607556	0.87324802	0	0	0
0.984578885	0.877088305	0.829355609	0.926829268	0.333333333	0.414634146	0.98912348	0.92015454	0.862202189	0.870229008	0.248484848	0.19245283
0.997820163	0.834877384	0.848501362	0.993548387	0.122580645	0.109677419	0.998214286	0.900595238	0.916666667	0.98089172	0.102150538	0.108280255
0.999303136	0.998606272	0.992334495	0.993939394	0.987878788	0.933333333	1	1	1	1	1	1
1	0.924080112	0.925943177	1	0.11827957	0.11827957	1	0.960564752	0.962512171	1	0.119565217	0.125
0.955639098	0.94962406	0.952631579	1	0	0	0.954334365	0.97755418	0.980650155	0.391752577	0	0
0.994914177	0.996185633	0.991099809	0.972222222	0.979166667	0.951388889	1	1	1	1	1	1
0.905925473	0.708002443	0.698228467	0.588068182	0.295454545	0.3125	0.992996109	0.821011673	0.803891051	0.958333333	0.311377246	0.303867403
0.993841416	0.911470362	0.912240185	0.965517241	0.75	0.745689655	1	0.946579194	0.948453608	1	0.753246753	0.75877193
0.995924605	0.686704024	0.684666327	0.984585742	0.404624277	0.400770713	1	0.788088643	0.786703601	1	0.406976744	0.403100775
