"","accelY","accelZ","accelMag","gyroX","risk","step"
"1434",12.9636421204,-2.332000494,13.3697060064,-0.2057094872,3,0
"1435",10.7560329437,-2.7292745113,11.3186733199,-0.1609438807,3,0
"1436",12.1984329224,-2.7569668293,12.7919584525,-0.2376847267,3,0
"1437",13.2763414383,-1.6368461847,13.717689421,-0.3464013636,3,0
"1438",10.6859779358,-1.2052935362,11.0082415138,-0.2813847959,3,0
"1439",10.0468072891,-1.7676740885,10.5001801975,-0.2057094872,3,0
"1440",9.4874210358,-1.8471587896,10.3305661178,-0.2238291055,3,1
"1441",8.9820718765,-2.1538710594,9.6665971249,-0.2952409685,3,0
"1442",8.8736972809,-1.4057267904,9.0205327102,-0.3293478191,3,0
"1443",8.9994354248,-0.9080117941,9.1416232094,-0.3346773088,3,0
"1444",8.7518501282,-1.6384927034,9.0401626485,-0.4583159089,3,0
"1445",8.7084407806,-1.1044033766,9.0002606672,-0.610732317,3,0
"1446",9.6302242279,-0.0239501949,9.9811949344,-0.5808884501,3,0
"1447",10.0809364319,-0.6021977067,10.2930113703,-0.3837061226,3,0
"1448",10.7467517853,-1.7715660334,10.9616446671,-0.2376847267,3,0
"1449",11.1362419128,-2.8530669212,11.5551371458,-0.050095126,3,0
"1450",10.7900123596,-2.7481353283,11.1963735159,0.1417576671,3,0
"1451",10.1923046112,-1.9652632475,10.5016136746,0.2558035553,3,0
"1452",9.4326343536,-0.7074288726,9.5315733808,0.3666523099,3,0
"1453",9.1438856125,-0.4734654129,9.2780254684,0.3847716451,3,0
"1454",9.6728849411,-1.3669574261,9.9210671884,0.3730470836,3,0
"1455",9.8758630753,-3.0817914009,10.6330503596,0.3645201623,3,0
"1456",9.8287115097,-3.2928524017,10.7195368442,0.371981293,3,0
"1457",9.7457838058,-2.0260367393,10.3963741144,0.4210106134,3,0
"1458",9.5384645462,-0.6753954887,9.7951576882,0.443393141,3,0
"1459",9.4214076996,-0.917891264,9.5330636722,0.306964457,3,0
"1460",9.3465633392,-1.9091299772,9.5478690921,0.023448335,3,0
"1461",10.2723884583,-3.27683568,10.8223324209,0.1193748638,3,0
"1462",10.5434751511,-3.7124300003,11.2374832034,0.1438895315,3,0
"1463",10.3734283447,-4.2056541443,11.2622058352,0.1566796303,3,0
"1464",8.6255130768,-5.3479290009,10.3034254434,0.4338006973,3,0
"1465",8.3861608505,-5.6076388359,10.3942787573,0.5574392676,3,0
"1466",6.3825774193,-3.5678305626,8.2897440408,0.4455247521,3,0
"1467",9.2226219177,-3.2097752094,10.3127903753,0.2334210128,3,0
"1468",12.2346582413,-3.9044806957,13.3998763577,0.6437731385,3,0
"1469",12.006980896,-3.8865180016,12.7636412406,0.6821436882,3,0
"1470",11.3107795715,-3.0367350578,11.711803931,0.4018249214,5,4
"1471",9.7609024048,-1.9058368206,9.9531591106,0.3144255877,3,0
"1472",9.0518264771,-2.0366647243,9.2787334485,0.1673381329,3,0
"1473",10.5130882263,-1.8753002882,10.7560060268,0.0021315941,3,0
"1474",11.4059810638,-2.8370504379,11.9161972985,-0.1417582035,3,0
"1475",10.3689374924,-2.7280769348,11.0548534799,-0.2568701506,3,0
"1476",8.6506605148,-2.7412495613,9.4348993823,-0.2558043599,3,0
"1477",8.4632501602,-2.4924669266,8.9944114288,-0.2963067591,3,0
"1478",8.346493721,-2.3430776596,8.7664318019,-0.3282819986,3,0
"1479",8.3869094849,-2.8556118011,8.8718161446,-0.1822606176,3,0
"1480",10.7615709305,-3.7164716721,11.5166810171,-0.057556238,3,0
"1481",10.2012863159,-4.00522089,11.0822068027,-0.0735439956,3,0
"1482",8.0785503387,-3.0874795914,8.7887643179,-0.0916636065,3,0
"1483",8.2075824738,-2.0898041725,8.8096910694,-0.0426342785,3,0
"1484",9.0512275696,-2.1838088036,9.664560242,-0.0298441816,3,0
"1485",9.3697652817,-2.4498054981,9.8822400557,-0.0948610008,3,0
"1486",10.2684965134,-3.1163694859,10.8997640042,-0.0127906296,3,0
"1487",9.9489107132,-3.3838632107,10.65851003,0.1705357879,3,0
"1488",9.1979227066,-3.4078133106,9.9009244545,0.2867135406,3,0
"1489",9.537566185,-3.9314246178,10.4035666732,0.3144255877,3,0
"1490",9.2410335541,-3.7459602356,10.1214861012,0.281384021,3,0
"1491",9.1772661209,-3.1834299564,10.1140699377,0.1779963672,3,0
"1492",8.0613365173,-2.9108469486,9.2402118754,0.0831361637,3,0
"1493",7.5651183128,-3.6474649906,9.0125805559,0.0394360907,3,0
