"","accelY","accelZ","accelMag","gyroX","risk","step"
"1",19.5429096222,-2.5071363449,19.7839966806,0.8814575672,0,0
"2",15.8481435776,-4.1484732628,16.852637273,1.7852982283,0,4
"3",15.3993768692,-4.5526328087,16.6353452231,2.4173474312,0,0
"4",13.3543291092,-1.5097603798,13.9665012128,2.3011698723,0,0
"5",12.0276384354,0.5767506361,12.0438106613,2.3725817204,0,0
"6",10.9191932678,1.1767029762,11.503382973,2.1348969936,0,0
"7",11.1022624969,-0.4730163515,11.8142359835,1.8790931702,0,0
"8",10.2876567841,-0.4779560864,11.141892884,1.7639814615,0,0
"9",8.0358896255,1.0606942177,8.630721696,1.418645978,0,0
"10",6.5723824501,0.4731660485,6.627050982,1.0306766033,0,0
"11",3.8911583424,-0.1255888343,3.9044158292,0.907038033,0,0
"12",1.6863931417,-1.8999989033,2.5606100044,0.4892248213,0,0
"13",0.9134005904,-2.25416255,2.43405867,-0.1396266073,0,0
"14",1.7363891602,-2.6490411758,3.1937362402,-0.7055928111,0,0
"15",3.0421237946,-2.9609925747,4.350245607,-1.193752408,0,0
"16",4.0359072685,-3.3334181309,5.235005355,-1.8034183979,0,0
"17",5.3383488655,-2.9264144897,6.2832204281,-2.3470020294,0,0
"18",6.4562244415,-2.4836351871,7.1764733692,-2.4749038219,0,0
"19",14.3175764084,-2.3875350952,14.9207250661,-1.4516880512,0,0
"20",19.5373725891,-8.000412941,22.0326767047,0.1694697291,0,1
"21",16.8091449738,-7.5793385506,19.0499590535,1.3376413584,0,0
"22",9.0561676025,-9.1027212143,12.9033637341,1.3461682796,0,0
"23",6.1126885414,-1.1117380857,6.4635236332,0.3869032562,0,0
"24",15.8623638153,9.9764537811,18.7670958845,-1.0189530849,0,0
"25",19.5342292786,9.2748632431,21.965508907,-0.4018254578,0,0
"26",13.5686836243,0.4387376308,13.7315855698,-1.0392041206,0,0
"27",7.2513709068,-3.6001634598,9.7612572264,0.7897945046,0,0
"28",8.8915100098,-5.0762438774,10.4682598853,0.3154913783,0,0
"29",13.6712207794,3.3708403111,14.2042943559,-0.917697072,0,0
"30",11.631562233,3.3296759129,12.1986571276,-0.8548118472,0,0
"31",8.1313905716,1.9118243456,8.4399491888,-1.3802762032,0,0
"32",7.7502832413,4.9472122192,9.4267124391,-1.9366496801,0,0
"33",7.3154373169,-0.3206332326,7.6903485239,-1.2001473904,0,0
"34",6.4732885361,0.2990780771,7.4072942199,-0.7301074862,0,0
"35",4.6071195602,0.751437366,5.670830076,-0.9400801659,0,0
"36",8.0475654602,-3.13433218,9.6846837042,-0.9901747704,0,0
"37",10.5032081604,-3.6780016422,11.7129796991,-0.9422117472,0,0
"38",11.4131660461,-0.7804769874,11.4621662919,-0.8079146743,0,0
"39",4.5804748535,1.0240205526,5.0351132553,-0.1929191202,0,0
"40",6.1450214386,-3.499423027,8.6356281643,0.0202509426,0,0
"41",10.9658966064,-4.1249718666,12.8801028315,0.2153016627,0,0
"42",7.9201798439,-0.2225871235,8.7604817416,0.7087899446,0,0
"43",6.2381277084,-0.0800834671,6.936050951,1.0626518726,0,0
"44",7.0548295975,1.0148894787,7.8629285541,1.0882322788,0,0
"45",8.5874919891,2.285597086,10.6476249805,0.8878529072,0,0
"46",10.7087306976,-3.2977921963,11.853054609,1.22039783,0,0
"47",13.6188297272,-5.7690033913,14.8987032742,1.8407223225,0,0
"48",15.1640663147,-0.5942642093,15.1757073478,3.8605082035,0,0
"49",19.5122241974,0.8699908257,19.5963547723,2.9119017124,0,0
"50",19.5738964081,-0.576451242,19.5898005203,2.7509582043,0,0
"51",16.1692256927,0.2270777822,16.2781625701,3.1527838707,0,0
"52",12.5359811783,-4.0519237518,13.6332008809,2.4045574665,0,0
"53",9.4061393738,-5.8309745789,12.9145965558,1.5465482473,0,0
"54",8.4888477325,-4.6216392517,11.666960431,1.5199019909,0,0
"55",5.4592971802,0.506247282,7.2878231127,1.025347352,0,0
"56",5.9139018059,-0.4595443606,6.3360807918,0.2579351366,0,0
"57",5.0476531982,-0.592617631,5.0840213289,-0.1385608166,0,1
"58",3.1600785255,-0.590372324,3.3739987054,-0.523332715,0,0
"59",1.798060894,-1.7130377293,3.4528681457,-1.0125578642,0,0
"60",0.9087602496,-1.6389417648,2.9322257884,-1.5817214251,0,0
"61",0.5307962298,-1.2150233984,1.3271577791,-1.8663035631,0,0
"62",1.7335450649,-1.1310479641,2.1930698873,-1.9366496801,0,0
"63",4.0960822105,-1.4922468662,4.463845289,-1.8726986647,0,0
"64",11.1324996948,-2.3372397423,11.4582791044,-1.7959573269,0,0
"65",19.2632923126,-2.5692572594,19.5554880854,-2.0837371349,0,0
"66",14.9781532288,-1.2772938013,15.0325193761,-1.6883064508,0,0
"67",11.3031454086,-4.7662386894,12.3795311849,-0.2728579044,0,0
"68",9.0344629288,-15.7245006561,18.348227999,0.9784499407,0,0
"69",5.0123267174,-10.0948572159,11.4957406822,0.2547377646,0,0
"70",7.0239934921,-5.4440288544,9.174227931,-0.7727414966,0,0
"71",19.1643466949,5.7866663933,20.0210460555,-0.8537460566,0,0
"72",19.5430603027,2.8268713951,19.7912321772,-0.1055192351,0,0
"73",11.5038776398,-1.3959970474,12.897123717,1.1383274794,0,0
"74",2.3531067371,2.0743863583,9.6095322015,0.2749889493,0,0
"75",7.188501358,0.1065783724,8.4279102223,0.2717915773,0,0
"76",7.8661422729,1.388662219,8.6673398368,-0.2931088507,0,0
"77",11.6507225037,3.5036141872,12.1662374621,-1.8258014917,0,0
"78",7.7754306793,2.674488306,8.2480369313,-1.682977438,0,0
"79",8.9410572052,0.5834866166,9.0373438567,-1.156447649,0,0
"80",11.5908470154,-6.3471012115,13.4568248805,-0.5851519108,0,0
"81",9.1293649673,-3.8535864353,9.9704328211,0.0778066516,5,4
"82",8.2116241455,-1.53520751,8.4079878475,0.3368081152,0,0
"83",7.0431537628,1.9931052923,7.4339196058,0.4806979001,0,0
